Timestamp,Heart rate
2021-02-11 15:12:00,79.0
2021-02-11 15:14:00,72.0
2021-02-11 15:16:00,89.0
2021-02-11 15:18:00,89.0
2021-02-11 15:20:00,88.0
2021-02-11 15:22:00,88.0
2021-02-11 15:24:00,89.0
2021-02-11 15:26:00,83.0
2021-02-11 15:28:00,76.0
2021-02-11 15:30:00,81.0
2021-02-11 15:32:00,79.0
2021-02-11 15:34:00,75.0
2021-02-11 15:36:00,77.0
2021-02-11 15:38:00,77.0
2021-02-11 15:40:00,81.0
2021-02-11 15:42:00,74.0
2021-02-11 15:44:00,73.0
2021-02-11 15:46:00,72.0
2021-02-11 15:48:00,90.0
2021-02-11 15:50:00,81.0
2021-02-11 15:52:00,77.0
2021-02-11 15:54:00,85.0
2021-02-11 15:56:00,93.0
2021-02-11 15:58:00,85.0
2021-02-11 16:00:00,76.0
2021-02-11 16:02:00,75.0
2021-02-11 16:04:00,76.0
2021-02-11 16:06:00,75.0
2021-02-11 16:08:00,78.0
2021-02-11 16:10:00,78.0
2021-02-11 16:12:00,74.0
2021-02-11 16:14:00,76.0
2021-02-11 16:16:00,75.0
2021-02-11 16:18:00,78.0
2021-02-11 16:20:00,80.0
2021-02-11 16:22:00,93.0
2021-02-11 16:24:00,76.0
2021-02-11 16:26:00,77.0
2021-02-11 16:28:00,74.0
2021-02-11 16:30:00,73.0
2021-02-11 16:32:00,89.0
2021-02-11 16:34:00,75.0
2021-02-11 16:36:00,79.0
2021-02-11 16:38:00,78.0
2021-02-11 16:40:00,75.0
2021-02-11 16:42:00,74.0
2021-02-11 16:44:00,74.0
2021-02-11 16:46:00,76.0
2021-02-11 16:48:00,73.0
2021-02-11 16:50:00,74.0
2021-02-11 16:52:00,75.0
2021-02-11 16:54:00,96.0
2021-02-11 16:56:00,97.0
2021-02-11 16:58:00,98.0
2021-02-11 17:00:00,96.0
2021-02-11 17:02:00,99.0
2021-02-11 17:04:00,97.0
2021-02-11 17:06:00,97.0
2021-02-11 17:08:00,96.0
2021-02-11 17:10:00,108.0
2021-02-11 17:12:00,106.0
2021-02-11 17:14:00,110.0
2021-02-11 17:16:00,104.0
2021-02-11 17:18:00,100.0
2021-02-11 17:20:00,89.0
2021-02-11 17:22:00,97.0
2021-02-11 17:24:00,114.0
2021-02-11 17:26:00,115.0
2021-02-11 17:28:00,115.0
2021-02-11 17:30:00,118.0
2021-02-11 17:32:00,107.0
2021-02-11 17:34:00,115.0
2021-02-11 17:36:00,99.0
2021-02-11 17:38:00,100.0
2021-02-11 17:40:00,121.0
2021-02-11 17:42:00,106.0
2021-02-11 17:44:00,91.0
2021-02-11 17:46:00,100.0
2021-02-11 17:48:00,75.0
2021-02-11 17:50:00,81.0
2021-02-11 17:52:00,103.0
2021-02-11 17:54:00,108.0
2021-02-11 17:56:00,105.0
2021-02-11 17:58:00,97.0
2021-02-11 18:00:00,94.0
2021-02-11 18:02:00,97.0
2021-02-11 18:04:00,101.0
2021-02-11 18:06:00,99.0
2021-02-11 18:08:00,101.0
2021-02-11 18:10:00,97.0
2021-02-11 18:12:00,99.0
2021-02-11 18:14:00,93.0
2021-02-11 18:16:00,86.0
2021-02-11 18:18:00,90.0
2021-02-11 18:20:00,98.0
2021-02-11 18:22:00,126.0
2021-02-11 18:24:00,99.0
2021-02-11 18:26:00,95.0
2021-02-11 18:28:00,100.0
2021-02-11 18:30:00,98.0
2021-02-11 18:32:00,99.0
2021-02-11 18:34:00,89.0
2021-02-11 18:36:00,83.0
2021-02-11 18:38:00,85.0
2021-02-11 18:40:00,85.0
2021-02-11 18:42:00,79.0
2021-02-11 18:44:00,98.0
2021-02-11 18:46:00,87.0
2021-02-11 18:48:00,92.0
2021-02-11 18:50:00,97.0
2021-02-11 18:52:00,100.0
2021-02-11 18:54:00,98.0
2021-02-11 18:56:00,96.0
2021-02-11 18:58:00,95.0
2021-02-11 19:00:00,99.0
2021-02-11 19:02:00,96.0
2021-02-11 19:04:00,100.0
2021-02-11 19:06:00,98.0
2021-02-11 19:08:00,98.0
2021-02-11 19:10:00,102.0
2021-02-11 19:12:00,102.0
2021-02-11 19:14:00,96.0
2021-02-11 19:16:00,101.0
2021-02-11 19:18:00,106.0
2021-02-11 19:20:00,102.0
2021-02-11 19:22:00,99.0
2021-02-11 19:24:00,98.0
2021-02-11 19:26:00,100.0
2021-02-11 19:28:00,100.0
2021-02-11 19:30:00,100.0
2021-02-11 19:32:00,101.0
2021-02-11 19:34:00,101.0
2021-02-11 19:36:00,100.0
2021-02-11 19:38:00,124.0
2021-02-11 19:40:00,130.0
2021-02-11 19:42:00,96.0
2021-02-11 19:44:00,96.0
2021-02-11 19:46:00,92.0
2021-02-11 19:48:00,92.0
2021-02-11 19:50:00,92.0
2021-02-11 19:52:00,99.0
2021-02-11 19:54:00,93.0
2021-02-11 19:56:00,98.0
2021-02-11 19:58:00,91.0
2021-02-11 20:00:00,96.0
2021-02-11 20:02:00,94.0
2021-02-11 20:04:00,98.0
2021-02-11 20:06:00,93.0
2021-02-11 20:08:00,89.0
2021-02-11 20:10:00,93.0
2021-02-11 20:12:00,97.0
2021-02-11 20:14:00,94.0
2021-02-11 20:16:00,96.0
2021-02-11 20:18:00,137.0
2021-02-11 20:20:00,107.0
2021-02-11 20:22:00,104.0
2021-02-11 20:24:00,101.0
2021-02-11 20:26:00,102.0
2021-02-11 20:28:00,101.0
2021-02-11 20:30:00,105.0
2021-02-11 20:32:00,105.0
2021-02-11 20:34:00,112.0
2021-02-11 20:36:00,97.0
2021-02-11 20:38:00,99.0
2021-02-11 20:40:00,94.0
2021-02-11 20:42:00,94.0
2021-02-11 20:44:00,89.0
2021-02-11 20:46:00,87.0
2021-02-11 20:48:00,90.0
2021-02-11 20:50:00,100.0
2021-02-11 20:52:00,100.0
2021-02-11 20:54:00,97.0
2021-02-11 20:56:00,92.0
2021-02-11 20:58:00,97.0
2021-02-11 21:00:00,86.0
2021-02-11 21:02:00,101.0
2021-02-11 21:04:00,97.0
2021-02-11 21:06:00,87.0
2021-02-11 21:08:00,101.0
2021-02-11 21:10:00,86.0
2021-02-11 21:12:00,95.0
2021-02-11 21:14:00,83.0
2021-02-11 21:16:00,82.0
2021-02-11 21:18:00,84.0
2021-02-11 21:20:00,81.0
2021-02-11 21:22:00,82.0
2021-02-11 21:24:00,81.0
2021-02-11 21:26:00,82.0
2021-02-11 21:28:00,82.0
2021-02-11 21:30:00,83.0
2021-02-11 21:32:00,92.0
2021-02-11 21:34:00,82.0
2021-02-11 21:36:00,82.0
2021-02-11 21:38:00,83.0
2021-02-11 21:40:00,86.0
2021-02-11 21:42:00,100.0
2021-02-11 21:44:00,134.0
2021-02-11 21:46:00,90.0
2021-02-11 21:48:00,87.0
2021-02-11 21:50:00,79.0
2021-02-11 21:52:00,82.0
2021-02-11 21:54:00,81.0
2021-02-11 21:56:00,82.0
2021-02-11 21:58:00,83.0
2021-02-11 22:00:00,81.0
2021-02-11 22:02:00,82.0
2021-02-11 22:04:00,86.0
2021-02-11 22:06:00,93.0
2021-02-11 22:08:00,103.0
2021-02-11 22:10:00,100.0
2021-02-11 22:12:00,93.0
2021-02-11 22:14:00,85.0
2021-02-11 22:16:00,80.0
2021-02-11 22:18:00,80.0
2021-02-11 22:20:00,81.0
2021-02-11 22:22:00,81.0
2021-02-11 22:24:00,81.0
2021-02-11 22:26:00,82.0
2021-02-11 22:28:00,82.0
2021-02-11 22:30:00,96.0
2021-02-11 22:32:00,113.0
2021-02-11 22:34:00,91.0
2021-02-11 22:36:00,94.0
2021-02-11 22:38:00,91.0
2021-02-11 22:40:00,96.0
2021-02-11 22:42:00,94.0
2021-02-11 22:44:00,95.0
2021-02-11 22:46:00,87.0
2021-02-11 22:48:00,86.0
2021-02-11 22:50:00,95.0
2021-02-11 22:52:00,91.0
2021-02-11 22:54:00,90.0
2021-02-11 22:56:00,81.0
2021-02-11 22:58:00,80.0
2021-02-11 23:00:00,80.0
2021-02-11 23:02:00,82.0
2021-02-11 23:04:00,90.0
2021-02-11 23:06:00,79.0
2021-02-11 23:08:00,92.0
2021-02-11 23:10:00,94.0
2021-02-11 23:12:00,88.0
2021-02-11 23:14:00,84.0
2021-02-11 23:16:00,93.0
2021-02-11 23:18:00,92.0
2021-02-11 23:20:00,88.0
2021-02-11 23:22:00,77.0
2021-02-11 23:24:00,84.0
2021-02-11 23:26:00,76.0
2021-02-11 23:28:00,74.0
2021-02-11 23:30:00,75.0
2021-02-11 23:32:00,80.0
2021-02-11 23:34:00,95.0
2021-02-11 23:36:00,98.0
2021-02-11 23:38:00,95.0
2021-02-11 23:40:00,95.0
2021-02-11 23:42:00,80.0
2021-02-11 23:44:00,88.0
2021-02-11 23:46:00,81.0
2021-02-11 23:48:00,94.0
2021-02-11 23:50:00,94.0
2021-02-11 23:52:00,93.0
2021-02-11 23:54:00,92.0
2021-02-11 23:56:00,89.0
2021-02-11 23:58:00,81.0
2021-02-12 00:00:00,74.0
